title,price,description,date,token,hour,link
"מטולה 12
דירה, קרית שרת מערב, חולון
4 חדרים • קומה 2 • 81 מ״ר","2,520,000 ₪","דירה, קרית שרת מערב, חולון",2024-06-17,shsh990w,16:13:07,https://www.yad2.co.il/realestate/item/shsh990w?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=1
"עוזי חיטמן 5
דירה, עיר ימים, נתניה
4 חדרים • קומה 11 • 141 מ״ר","5,300,000 ₪","דירה, עיר ימים, נתניה",2024-06-17,kafgxmbu,16:13:07,https://www.yad2.co.il/realestate/item/kafgxmbu?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=1
"מורן 4
דירה, סביוני הכפר, כפר סבא
3 חדרים • קומה 3 • 83 מ״ר","3,290,000 ₪","דירה, סביוני הכפר, כפר סבא",2024-06-17,8625jq8s,16:13:07,https://www.yad2.co.il/realestate/item/8625jq8s?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=1
"סמטת אלוף בצלות 10
דירת גן, פלורנטין, תל אביב יפו
3 חדרים • קומה קרקע • 80 מ״ר","3,250,000 ₪","דירת גן, פלורנטין, תל אביב יפו",2024-06-17,jwrjx7qy,16:13:07,https://www.yad2.co.il/realestate/item/jwrjx7qy?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=1
"שדרות יצחק 13
דו משפחתי, כבירים, חיפה
5 חדרים • קומה 1 • 120 מ״ר","4,800,000 ₪","דו משפחתי, כבירים, חיפה",2024-06-17,675njaqc,16:13:07,https://www.yad2.co.il/realestate/item/675njaqc?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=1
"אגוז 7
דירה, פסגת אונו, קרית אונו
4 חדרים • קומה 10 • 144 מ״ר","3,650,000 ₪","דירה, פסגת אונו, קרית אונו",2024-06-17,hdzgcl2u,16:13:07,https://www.yad2.co.il/realestate/item/hdzgcl2u?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=1
"שלמה כהן
גג/ פנטהאוז, ברנע, אשקלון
5.5 חדרים • קומה 9 • 160 מ״ר","2,850,000 ₪","גג/ פנטהאוז, ברנע, אשקלון",2024-06-17,r31ya1tt,16:13:07,https://www.yad2.co.il/realestate/item/r31ya1tt?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=1
"בני דן
דירה, תל אביב יפו
3 חדרים • קומה 3 • 54 מ״ר","4,890,000 ₪","דירה, תל אביב יפו",2024-06-17,0lghj03n,16:13:07,https://www.yad2.co.il/realestate/item/0lghj03n?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=1
"בר אילן
דירה, רעננה
5 חדרים • קומה 2 • 155 מ״ר","4,290,000 ₪","דירה, רעננה",2024-06-17,ssagmh44,16:13:07,https://www.yad2.co.il/realestate/item/ssagmh44?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=1
"שדרות ירושלים 15
דירה, צפון יפו, המושבה האמריקאית-גרמנית, תל אביב יפו
3 חדרים • קומה 3 • 185 מ״ר","6,690,000 ₪","דירה, צפון יפו, המושבה האמריקאית-גרמנית, תל אביב יפו",2024-06-17,19pk08od,16:13:08,https://www.yad2.co.il/realestate/item/19pk08od?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=1
"שולמית אלוני
גג/ פנטהאוז, ראשון לציון
6 חדרים • קומה 18 • 250 מ״ר","6,800,000 ₪","גג/ פנטהאוז, ראשון לציון",2024-06-17,sb9j4sop,16:13:08,https://www.yad2.co.il/realestate/item/sb9j4sop?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=1
"בית פרטי/ קוטג', סביון
6 חדרים • קומה קרקע • 1000 מ״ר","16,840,000 ₪","בית פרטי/ קוטג', סביון",2024-06-17,m0m7jkfm,16:13:08,https://www.yad2.co.il/realestate/item/m0m7jkfm?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=1
"תמר
דירה, חולון
5 חדרים • קומה 6 • 155 מ״ר","3,900,000 ₪","דירה, חולון",2024-06-17,rm847h5w,16:13:08,https://www.yad2.co.il/realestate/item/rm847h5w?opened-from=feed&component-type=main_feed&spot=standard&location=30&pagination=1
"אלנבי
דירה, לב תל אביב, לב העיר צפון, תל אביב יפו
2 חדרים • קומה 3 • 54 מ״ר","3,390,000 ₪","דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",2024-06-17,tn378qp5,16:13:08,https://www.yad2.co.il/realestate/item/tn378qp5?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=1
"דירה, מבשרת ציון
3 חדרים • קומה 1 • 90 מ״ר","2,820,000 ₪","דירה, מבשרת ציון",2024-06-17,j9xwdylv,16:13:08,https://www.yad2.co.il/realestate/item/j9xwdylv?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=1
"אנילביץ'
בית פרטי/ קוטג', קרית היובל, ירושלים
7 חדרים • קומה קרקע • 170 מ״ר","6,900,000 ₪","בית פרטי/ קוטג', קרית היובל, ירושלים",2024-06-17,3ldd8v4d,16:13:08,https://www.yad2.co.il/realestate/item/3ldd8v4d?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=1
"שדרות נורדאו 88
דירה, הצפון הישן - צפון, תל אביב יפו
3 חדרים • קומה 5 • 77 מ״ר","5,089,000 ₪","דירה, הצפון הישן - צפון, תל אביב יפו",2024-06-17,dal07048,16:13:08,https://www.yad2.co.il/realestate/item/dal07048?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=1
"שושנה דמארי
דופלקס, כפר סבא
6.5 חדרים • קומה 7 • 220 מ״ר","6,890,000 ₪","דופלקס, כפר סבא",2024-06-17,6fuwjxfc,16:13:08,https://www.yad2.co.il/realestate/item/6fuwjxfc?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=1
"גג/ פנטהאוז, אשדוד
3 חדרים • קומה 7 • 130 מ״ר","1,680,000 ₪","גג/ פנטהאוז, אשדוד",2024-06-17,vynadzy1,16:13:08,https://www.yad2.co.il/realestate/item/vynadzy1?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=1
"התקוה, בית יעקב, נווה צה""ל
דירת גן, התקוה, בית יעקב, נווה צה""ל, תל אביב יפו
3 חדרים • קומה קרקע • 62 מ״ר","1,650,000 ₪","דירת גן, התקוה, בית יעקב, נווה צה""ל, תל אביב יפו",2024-06-17,b0npztej,16:13:08,https://www.yad2.co.il/realestate/item/b0npztej?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=1
"בית הערבה
דירה, קרית גנים, ראשון לציון
3 חדרים • קומה 3 • 79 מ״ר","1,990,000 ₪","דירה, קרית גנים, ראשון לציון",2024-06-17,0kpf5vsn,16:13:08,https://www.yad2.co.il/realestate/item/0kpf5vsn?opened-from=feed&component-type=main_feed&spot=standard&location=38&pagination=1
"יחיאל פלדי
דירה, רחובות המדע, רחובות
3 חדרים • קומה 3 • 77 מ״ר","2,350,000 ₪","דירה, רחובות המדע, רחובות",2024-06-17,itzgyzn9,16:13:08,https://www.yad2.co.il/realestate/item/itzgyzn9?opened-from=feed&component-type=main_feed&spot=standard&location=39&pagination=1
"מרגלית 6
דירת גן, חריש
4 חדרים • קומה קרקע • 236 מ״ר","1,870,000 ₪","דירת גן, חריש",2024-06-17,ntbwbgof,16:13:09,https://www.yad2.co.il/realestate/item/ntbwbgof?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=1
"יוחנן הורקנוס
דירה, תל אביב יפו
2.5 חדרים • קומה 1 • 63 מ״ר","3,535,000 ₪","דירה, תל אביב יפו",2024-06-17,6y7p40hr,16:13:09,https://www.yad2.co.il/realestate/item/6y7p40hr?opened-from=feed&component-type=main_feed&spot=standard&location=41&pagination=1
"ורבורג
דירה, ירושלים
4 חדרים • קומה 4 • 90 מ״ר","2,600,000 ₪","דירה, ירושלים",2024-06-17,bea27lk8,16:13:09,https://www.yad2.co.il/realestate/item/bea27lk8?opened-from=feed&component-type=main_feed&spot=standard&location=42&pagination=1
"דירה, נתיבות
4 חדרים • קומה 11 • 115 מ״ר","1,340,000 ₪","דירה, נתיבות",2024-06-17,jd625uql,16:13:09,https://www.yad2.co.il/realestate/item/jd625uql?opened-from=feed&component-type=main_feed&spot=standard&location=43&pagination=1
"שבירו בבאר יעקב BY
דירה, צריפין החדשה, באר יעקב
5 חדרים","4,270,000 ₪",N/A,2024-06-17,2_98_9028,16:13:09,https://www.yad2.co.il/item/2_98_9028?site=_inres_x1_l_15303_o_ws_ListingPro_17831
"AQUA WEST PRIME – אקווה ווסט פריים
דירה, עין הים, חדרה
4 חדרים","2,720,000 ₪",N/A,2024-06-17,2_98_6396,16:13:09,https://www.yad2.co.il/item/2_98_6396?site=_inres_x1_l_15304_o_ws_ListingPro_22519
"הדולב
דירה, ירושלים
2 חדרים • קומה 4 • 52 מ״ר","1,595,000 ₪","דירה, ירושלים",2024-06-17,r24e04vr,16:42:23,https://www.yad2.co.il/realestate/item/r24e04vr?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=1
"דירה, גני תקווה
6 חדרים • קומה 16 • 169 מ״ר","5,300,000 ₪","דירה, גני תקווה",2024-06-17,xdeq9p36,16:42:23,https://www.yad2.co.il/realestate/item/xdeq9p36?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=1
"שדרות האצ""ל
דירה, אשקלון
4 חדרים • קומה 5 • 110 מ״ר","1,490,000 ₪","דירה, אשקלון",2024-06-17,bfl3gxqd,16:42:23,https://www.yad2.co.il/realestate/item/bfl3gxqd?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=1
"יעקב תמרי 4
גג/ פנטהאוז, חצרות המושבה, רחובות
4 חדרים • קומה 9 • 221 מ״ר","4,690,000 ₪","גג/ פנטהאוז, חצרות המושבה, רחובות",2024-06-17,x1o3unjs,16:42:23,https://www.yad2.co.il/realestate/item/x1o3unjs?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=1
"יאיר 1
דירה, מושבה מרכז, זכרון יעקב
2 חדרים • קומה 5 • 46 מ״ר","715,000 ₪","דירה, מושבה מרכז, זכרון יעקב",2024-06-17,qh46t62w,16:42:23,https://www.yad2.co.il/realestate/item/qh46t62w?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=1
"חשוון 4
גג/ פנטהאוז, הכרמים, מודיעין מכבים רעות
5 חדרים • קומה 3 • 203 מ״ר",לא צוין מחיר,"גג/ פנטהאוז, הכרמים, מודיעין מכבים רעות",2024-06-17,palgjd12,16:42:23,https://www.yad2.co.il/realestate/item/palgjd12?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=1
"שלמה המלך 8
דירה, דרום מערב ותיק, בת ים
5 חדרים • קומה 1 • 105 מ״ר","2,870,000 ₪","דירה, דרום מערב ותיק, בת ים",2024-06-17,m7q7lmkz,16:42:23,https://www.yad2.co.il/realestate/item/m7q7lmkz?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=1
"אליעזר בלבן 3
דירה, קדמת ראשון, ראשון לציון
4 חדרים • קומה 6 • 106 מ״ר","2,270,000 ₪","דירה, קדמת ראשון, ראשון לציון",2024-06-17,0ymg6sx3,16:42:23,https://www.yad2.co.il/realestate/item/0ymg6sx3?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=1
"אלחריזי 11
גג/ פנטהאוז, הצפון הישן - צפון, תל אביב יפו
4 חדרים • קומה 6 • 257 מ״ר","17,000,000 ₪","גג/ פנטהאוז, הצפון הישן - צפון, תל אביב יפו",2024-06-17,cjo4poyv,16:42:23,https://www.yad2.co.il/realestate/item/cjo4poyv?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=1
"סיני 6
דירה, נווה אילן, אשקלון
4 חדרים • קומה 3 • 100 מ״ר","1,650,000 ₪","דירה, נווה אילן, אשקלון",2024-06-17,ylwbzmvi,16:42:23,https://www.yad2.co.il/realestate/item/ylwbzmvi?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=1
"מבוא הצרי 3
דירה, גילה, ירושלים
2 חדרים • קומה 1 • 50 מ״ר","2,100,000 ₪","דירה, גילה, ירושלים",2024-06-17,r702vcvt,16:42:24,https://www.yad2.co.il/realestate/item/r702vcvt?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=1
"הנחלים 72
דירת גן, הנחלים, מעלה אדומים
6 חדרים • קומה קרקע • 230 מ״ר","2,850,000 ₪","דירת גן, הנחלים, מעלה אדומים",2024-06-17,kmg1eplq,16:42:24,https://www.yad2.co.il/realestate/item/kmg1eplq?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=1
"התמר 365
בית פרטי/ קוטג', שקד, שקד
6.5 חדרים • קומה קרקע • 550 מ״ר","3,100,000 ₪","בית פרטי/ קוטג', שקד, שקד",2024-06-17,ftwsyk4n,16:42:24,https://www.yad2.co.il/realestate/item/ftwsyk4n?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=1
"עמק יזרעאל 42
דירה, נחלת שמעון, בני ברק
4 חדרים • קומה 4 • 100 מ״ר","2,049,000 ₪","דירה, נחלת שמעון, בני ברק",2024-06-17,iok1da6u,16:42:24,https://www.yad2.co.il/realestate/item/iok1da6u?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=1
"עמק יזרעאל 42
גג/ פנטהאוז, נחלת שמעון, בני ברק
6 חדרים • קומה 5 • 200 מ״ר","3,398,000 ₪","גג/ פנטהאוז, נחלת שמעון, בני ברק",2024-06-17,pi4pc654,16:42:24,https://www.yad2.co.il/realestate/item/pi4pc654?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=1
"רוגוזין 11
דירה, רובע א', אשדוד
4 חדרים • קומה 3 • 123 מ״ר","2,000,000 ₪","דירה, רובע א', אשדוד",2024-06-17,4gz6fqwt,16:42:24,https://www.yad2.co.il/realestate/item/4gz6fqwt?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=1
"סמטת חיננית 7
בית פרטי/ קוטג', יפה נוף, פרדס חנה כרכור
6 חדרים • קומה קרקע • 250 מ״ר","3,450,000 ₪","בית פרטי/ קוטג', יפה נוף, פרדס חנה כרכור",2024-06-17,xuzrazx6,16:42:24,https://www.yad2.co.il/realestate/item/xuzrazx6?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=1
"ז'בוטינסקי 5
קב' רכישה/ זכות לנכס, רובע א', אשדוד
קומה קרקע • 125 מ״ר","210,000 ₪","קב' רכישה/ זכות לנכס, רובע א', אשדוד",2024-06-17,ui8i0obs,16:42:24,https://www.yad2.co.il/realestate/item/ui8i0obs?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=1
"דבורה הנביאה 79
דירה, נווה שרת, תל אביב יפו
4 חדרים • קומה 6 • 98 מ״ר","3,700,000 ₪","דירה, נווה שרת, תל אביב יפו",2024-06-17,wkmsh73f,16:42:24,https://www.yad2.co.il/realestate/item/wkmsh73f?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=1
"רש""י 9
דירה, רמב""ם, ראשון לציון
4 חדרים • קומה 1 • 90 מ״ר","2,180,000 ₪","דירה, רמב""ם, ראשון לציון",2024-06-17,9j1tja4m,16:42:24,https://www.yad2.co.il/realestate/item/9j1tja4m?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=1
"לשם 29
בית פרטי/ קוטג', רובע 10 חן, קצרין
4 חדרים • קומה קרקע • 129 מ״ר","2,300,000 ₪","בית פרטי/ קוטג', רובע 10 חן, קצרין",2024-06-17,tukm9f08,16:42:24,https://www.yad2.co.il/realestate/item/tukm9f08?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=1
"ריה""ל 2
דירה, אירוס, ירוחם
5 חדרים • קומה 2 • 114 מ״ר","1,190,000 ₪","דירה, אירוס, ירוחם",2024-06-17,5kb1ziki,16:42:25,https://www.yad2.co.il/realestate/item/5kb1ziki?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=1
"וולפסון 84
דירה, נווה שאנן, תל אביב יפו
2.5 חדרים • קומה 2 • 50 מ״ר","2,500,000 ₪","דירה, נווה שאנן, תל אביב יפו",2024-06-17,y3gcjb8f,16:42:25,https://www.yad2.co.il/realestate/item/y3gcjb8f?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=1
"משק חקלאי/ נחלה, בית ינאי
קומה קרקע • 27000 מ״ר","15,000,000 ₪","משק חקלאי/ נחלה, בית ינאי",2024-06-17,096iaoo9,16:42:25,https://www.yad2.co.il/realestate/item/096iaoo9?opened-from=feed&component-type=main_feed&spot=standard&location=24&pagination=1
"דן פגיס
דופלקס, ירושלים
5 חדרים • קומה 1 • 163 מ״ר","2,490,000 ₪","דופלקס, ירושלים",2024-06-17,kf96cmuz,16:42:25,https://www.yad2.co.il/realestate/item/kf96cmuz?opened-from=feed&component-type=main_feed&spot=standard&location=25&pagination=1
"דירה, תל אביב יפו
4 חדרים • קומה 7 • 90 מ״ר","3,980,000 ₪","דירה, תל אביב יפו",2024-06-17,m5ywyd61,16:42:25,https://www.yad2.co.il/realestate/item/m5ywyd61?opened-from=feed&component-type=main_feed&spot=standard&location=26&pagination=1
"אוסקר שינדלר
גג/ פנטהאוז, באר שבע
5 חדרים • קומה 5 • 173 מ״ר","2,400,000 ₪","גג/ פנטהאוז, באר שבע",2024-06-17,iw0vawvq,16:42:25,https://www.yad2.co.il/realestate/item/iw0vawvq?opened-from=feed&component-type=main_feed&spot=standard&location=27&pagination=1
"שפרינצק 21
דירה, גבעת אוסישקין, נהריה
3 חדרים • קומה 8 • 80 מ״ר","880,000 ₪","דירה, גבעת אוסישקין, נהריה",2024-06-17,ra6af378,16:42:25,https://www.yad2.co.il/realestate/item/ra6af378?opened-from=feed&component-type=main_feed&spot=standard&location=28&pagination=1
"רמז
דירה, יהוד מונוסון
5 חדרים • קומה 1 • 160 מ״ר","2,790,000 ₪","דירה, יהוד מונוסון",2024-06-17,kl93d9nn,16:42:25,https://www.yad2.co.il/realestate/item/kl93d9nn?opened-from=feed&component-type=main_feed&spot=standard&location=29&pagination=1
"דירת גן, אשדוד
5 חדרים • קומה 1 • 200 מ״ר","3,950,000 ₪","דירת גן, אשדוד",2024-06-17,2kmtphc2,16:42:25,https://www.yad2.co.il/realestate/item/2kmtphc2?opened-from=feed&component-type=main_feed&spot=standard&location=30&pagination=1
"מניה שוחט
דירה, ראשון לציון
3 חדרים • קומה 3 • 70 מ״ר","1,790,000 ₪","דירה, ראשון לציון",2024-06-17,vaqgx0e6,16:42:25,https://www.yad2.co.il/realestate/item/vaqgx0e6?opened-from=feed&component-type=main_feed&spot=standard&location=31&pagination=1
"גג/ פנטהאוז, כרמיאל
5 חדרים • קומה 5 • 145 מ״ר","2,050,000 ₪","גג/ פנטהאוז, כרמיאל",2024-06-17,fyn8xz2t,16:42:25,https://www.yad2.co.il/realestate/item/fyn8xz2t?opened-from=feed&component-type=main_feed&spot=standard&location=32&pagination=1
"הצפון הישן - דרום
מגרשים, הצפון הישן - דרום, תל אביב יפו
קומה קרקע • 400 מ״ר","35,000,000 ₪","מגרשים, הצפון הישן - דרום, תל אביב יפו",2024-06-17,oy76n19z,16:42:25,https://www.yad2.co.il/realestate/item/oy76n19z?opened-from=feed&component-type=main_feed&spot=standard&location=33&pagination=1
"בנטל
דירת גן, שאר העיר, כפר יונה
5 חדרים • קומה קרקע • 125 מ״ר","3,490,000 ₪","דירת גן, שאר העיר, כפר יונה",2024-06-17,qaszqcvy,16:42:26,https://www.yad2.co.il/realestate/item/qaszqcvy?opened-from=feed&component-type=main_feed&spot=standard&location=34&pagination=1
"בית פרטי/ קוטג', סביון
1 חדרים • קומה קרקע • 1295 מ״ר","9,900,000 ₪","בית פרטי/ קוטג', סביון",2024-06-17,37jkjqdm,16:42:26,https://www.yad2.co.il/realestate/item/37jkjqdm?opened-from=feed&component-type=main_feed&spot=standard&location=35&pagination=1
"רקנאטי
דירה, רמת אביב ג', תל אביב יפו
4 חדרים • קומה 6 • 118 מ״ר","6,850,000 ₪","דירה, רמת אביב ג', תל אביב יפו",2024-06-17,1s1zuqxz,16:42:26,https://www.yad2.co.il/realestate/item/1s1zuqxz?opened-from=feed&component-type=main_feed&spot=standard&location=36&pagination=1
"יעקב פלומניק 4
דירת גן, אלישיב, לוד
5 חדרים • קומה קרקע • 109 מ״ר","2,300,000 ₪","דירת גן, אלישיב, לוד",2024-06-17,r15qgjbz,16:42:26,https://www.yad2.co.il/realestate/item/r15qgjbz?opened-from=feed&component-type=main_feed&spot=standard&location=37&pagination=1
"שטיינברג
דירה, שפירא, תל אביב יפו
5 חדרים • קומה 2 • 115 מ״ר","3,500,000 ₪","דירה, שפירא, תל אביב יפו",2024-06-17,tu06s7zn,16:42:26,https://www.yad2.co.il/realestate/item/tu06s7zn?opened-from=feed&component-type=main_feed&spot=standard&location=38&pagination=1
"דירה, רעננה
5 חדרים • קומה 1 • 130 מ״ר","4,390,000 ₪","דירה, רעננה",2024-06-17,yu2qfn54,16:42:26,https://www.yad2.co.il/realestate/item/yu2qfn54?opened-from=feed&component-type=main_feed&spot=standard&location=39&pagination=1
"תמר
גג/ פנטהאוז, החורש, חריש
4 חדרים • קומה 5 • 134 מ״ר","1,720,000 ₪","גג/ פנטהאוז, החורש, חריש",2024-06-17,g6dgqbpd,16:42:26,https://www.yad2.co.il/realestate/item/g6dgqbpd?opened-from=feed&component-type=main_feed&spot=standard&location=40&pagination=1
"בית פרטי/ קוטג', סביון
12 חדרים • קומה קרקע • 1450 מ״ר","13,200,000 ₪","בית פרטי/ קוטג', סביון",2024-06-17,7rgrzwsq,16:42:26,https://www.yad2.co.il/realestate/item/7rgrzwsq?opened-from=feed&component-type=main_feed&spot=standard&location=41&pagination=1
"יצחק אבינו 13
דירה, שכונה ד', באר שבע
2 חדרים • קומה 6 • 76 מ״ר","1,070,000 ₪","דירה, שכונה ד', באר שבע",2024-06-17,l449ukro,16:42:26,https://www.yad2.co.il/realestate/item/l449ukro?opened-from=feed&component-type=main_feed&spot=standard&location=42&pagination=1
"יחזקאל דנין
דירה, לב העיר, בת ים
3 חדרים • קומה 2 • 86 מ״ר","1,980,000 ₪","דירה, לב העיר, בת ים",2024-06-17,h1yt4oq9,16:42:26,https://www.yad2.co.il/realestate/item/h1yt4oq9?opened-from=feed&component-type=main_feed&spot=standard&location=43&pagination=1
